NKY Index,0.20894515066342184,0.13402114996824485,0.16610524294066698,-0.4659363332700047,-0.2073022428718867
HSI Index,0.2769447558184899,-0.11256389278171022,-0.2544271481423726,-0.2414852009677047,0.12100226864013658
AS51 Index,0.1610561593592222,0.07318346478347078,0.05371549000793324,-0.014519421208153346,0.0955178098250801
HSCEI Index,0.3630004634851444,-0.34432331562348856,-0.30177482278996137,-0.5139825075911164,0.3010362164220875
SHSZ300 Index,0.27859771531523136,-0.7409370640840693,0.5376836020962513,0.22548300459060563,-0.13732955969887561
TWSE Index,0.21019849891302203,0.0032363926210264085,-0.20852516848875063,0.06806841093891157,-0.31156572562659257
KOSPI Index,0.19766420414012992,0.001079268358827887,-0.11744318619531594,0.19300747444049068,-0.1650765875959159
NIFTY Index,0.2610787956899309,0.05400827736444779,-0.3536392098921687,0.22965544923463221,-0.5406894184272298
FSSTI Index,0.23104385716249368,-0.002825806593818935,-0.1403764157453496,0.04631616157144556,-0.187218170417063
SPX Index,0.17658333982205537,0.11747479025483504,0.06197793323897947,0.034520593158489835,0.016278805696390147
NDX Index,0.20981797231230426,0.12552196774341826,0.0436245017074854,0.07374340131322944,-0.08190307207736341
ibov Index,0.24838771989943856,-0.06485698608927212,-0.3243924444796039,0.49315190490955085,0.4854557600343949
SX5E Index,0.21240043619010895,0.21525865342546607,0.2104742546787585,0.05253906729068449,0.09171506362825652
UKX Index,0.15881494115504527,0.1349723702452894,0.02898663398748093,0.01361547526275974,0.12468984062434582
CAC Index,0.1997576840266639,0.21726538297277898,0.1948104568454878,0.033174024935544805,0.1022112272758707
DAX Index,0.223874529569278,0.1850035116092001,0.19080540355263298,-0.0199257651536031,-0.05454938971510391
SMI Index,0.1254304303812011,0.13378965408568205,0.17822104347732948,-0.06686014708673077,0.05142661749292576
IBEX Index,0.21572845165212154,0.21138918248628402,0.18105480017491424,0.17815032439075884,0.2849915941766928
OMX Index,0.18763916476515907,0.12030643379313757,0.12030183481730998,-0.14668111358941688,-0.09022599434062019
AEX Index,0.2116120730137546,0.19163375238890223,0.11440524243360238,0.02428565222732923,0.005583207836306808
