,ERC,MDR,GMV,MDC,MSR
10 HK,0.012116,0.000000,0.000000,0.000000,0.000000
101 HK,0.011514,0.000000,0.000000,0.000000,0.000000
1038 HK,0.058845,0.100000,0.100000,0.065355,0.000000
11 HK,0.017039,0.000000,0.062795,0.000000,0.000000
12 HK,0.010410,0.000000,0.000000,0.000000,0.000000
14 HK,0.011932,0.000000,0.000000,0.000000,0.000000
142 HK,0.011378,0.000000,0.000000,0.000000,0.000000
16 HK,0.010698,0.000000,0.000000,0.000000,0.000000
17 HK,0.007158,0.000000,0.000000,0.000000,0.000000
179 HK,0.015860,0.067229,0.000000,0.064042,0.000000
19 HK,0.013727,0.000000,0.000000,0.000000,0.000000
2 HK,0.065713,0.100000,0.100000,0.100000,0.000000
20 HK,0.010464,0.000000,0.000000,0.000000,0.000000
23 HK,0.011481,0.000000,0.000000,0.000000,0.000000
267 HK,0.008397,0.000000,0.000000,0.000000,0.000000
291 HK,0.010849,0.000000,0.000000,0.000000,0.000000
293 HK,0.013080,0.000000,0.000000,0.000000,0.000000
3 HK,0.022103,0.000000,0.100000,0.000000,0.000000
315 HK,0.025737,0.100000,0.088270,0.100000,0.000000
363 HK,0.009606,0.000000,0.000000,0.000000,0.000000
4 HK,0.009786,0.000000,0.000000,0.000000,0.000000
494 HK,0.014108,0.000000,0.000000,0.000000,0.000000
5 HK,0.016386,0.000000,0.078134,0.000000,0.000000
511 HK,0.014777,0.000000,0.000000,0.000000,0.000000
6 HK,0.065243,0.100000,0.100000,0.083291,0.000000
8 HK,0.022691,0.038515,0.004506,0.048485,0.000000
83 HK,0.008525,0.000000,0.000000,0.000000,0.000000
941 HK,0.016045,0.000000,0.061444,0.000000,0.000000
97 HK,0.012693,0.037075,0.000000,0.055026,0.000000
992 HK,0.010481,0.017157,0.000000,0.035268,0.000000
66 HK,0.016365,0.000000,0.000000,0.000000,0.000000
762 HK,0.014675,0.045212,0.000000,0.042559,0.000000
883 HK,0.011508,0.000000,0.000000,0.000000,0.000000
282 HK,0.010458,0.025078,0.000000,0.075447,0.000000
2388 HK,0.011282,0.000000,0.000000,0.000000,0.000000
330 HK,0.011442,0.023530,0.000000,0.028469,0.000000
1199 HK,0.010221,0.000000,0.000000,0.000000,0.000000
551 HK,0.022810,0.026830,0.083749,0.008310,0.000000
144 HK,0.011388,0.000000,0.000000,0.000000,0.000000
2038 HK,0.010433,0.035250,0.001351,0.081926,0.000000
388 HK,0.008427,0.000000,0.000000,0.000000,0.100000
939 HK,0.010760,0.000000,0.000000,0.000000,0.000000
386 HK,0.010345,0.020686,0.000000,0.000000,0.100000
3988 HK,0.010652,0.000000,0.000000,0.000000,0.000000
1398 HK,0.009123,0.000000,0.000000,0.000000,0.000000
2628 HK,0.010740,0.000000,0.000000,0.000000,0.000000
2318 HK,0.007976,0.000000,0.000000,0.000000,0.100000
3328 HK,0.008822,0.000000,0.000000,0.000000,0.000000
1088 HK,0.009480,0.000000,0.000000,0.000000,0.000000
688 HK,0.008835,0.000000,0.000000,0.000000,0.100000
857 HK,0.011041,0.000000,0.000000,0.000000,0.000000
2600 HK,0.007458,0.000000,0.000000,0.000000,0.100000
700 HK,0.010635,0.000000,0.000000,0.000000,0.100000
836 HK,0.014239,0.046478,0.000000,0.052556,0.000000
1109 HK,0.008315,0.000000,0.000000,0.000000,0.100000
1880 HK,0.008519,0.000000,0.000000,0.000000,0.000000
1898 HK,0.006129,0.000000,0.000000,0.000000,0.000000
1044 HK,0.016122,0.000000,0.015873,0.000000,0.100000
1299 HK,0.017750,0.000000,0.000000,0.000000,0.000000
151 HK,0.023163,0.070206,0.097518,0.021734,0.000000
322 HK,0.016898,0.050115,0.006360,0.071426,0.000000
1928 HK,0.012789,0.000000,0.000000,0.000000,0.000000
135 HK,0.010173,0.033169,0.000000,0.066106,0.100000
27 HK,0.006848,0.000469,0.000000,0.000000,0.100000
2319 HK,0.011575,0.000000,0.000000,0.000000,0.000000
823 HK,0.025655,0.062998,0.100000,0.000000,0.000000
1 HK,0.011584,0.000000,0.000000,0.000000,0.000000
1113 HK,0.006520,0.000000,0.000000,0.000000,0.000000
